water tempreture,initial moisture 1,initial moisture 2,initial moisture 3,initial moisture 4,initial moisture 5,average initial moisture,soaking time,moisture 1,moisture 2,moisture 3,moisture 4,moisture 5,average moisture
70,3.3,3.5,3.4,3.4,3.3,3.38,5,4.0,4.0,4.1,4.0,4.1,4.04
70,3.3,3.5,3.4,3.4,3.3,3.38,6,4.6,4.5,4.6,4.5,4.5,4.54
70,3.3,3.5,3.4,3.4,3.3,3.38,7,4.4,4.3,4.4,4.5,4.3,4.38
70,3.3,3.5,3.4,3.4,3.3,3.38,8,5.0,5.1,5.0,4.9,5.0,5.0
70,3.3,3.5,3.4,3.4,3.3,3.38,9,5.0,4.9,4.9,4.9,4.9,4.92
70,3.3,3.5,3.4,3.4,3.3,3.38,10,5.3,5.2,5.6,5.5,5.3,5.38
70,3.5,3.5,3.7,3.5,3.6,3.56,11,5.4,5.6,5.5,6.0,5.6,5.62
70,3.5,3.5,3.7,3.5,3.6,3.56,12,5.6,5.9,5.5,5.8,5.6,5.68
70,3.5,3.5,3.7,3.5,3.6,3.56,13,6.0,6.0,6.3,6.1,5.9,6.06
70,3.5,3.5,3.7,3.5,3.6,3.56,14,6.5,6.5,6.3,6.2,6.5,6.4
70,3.3,3.5,3.4,3.4,3.3,3.38,15,6.0,5.9,6.0,6.2,6.3,6.08
70,3.3,3.5,3.4,3.4,3.3,3.38,16,6.8,6.9,6.7,6.8,6.9,6.82
70,3.3,3.5,3.4,3.4,3.3,3.38,17,6.3,6.3,6.4,6.3,6.2,6.3
70,3.3,3.5,3.4,3.4,3.3,3.38,18,6.6,6.7,6.5,6.5,6.8,6.62
70,3.3,3.5,3.4,3.4,3.3,3.38,19,7.6,7.5,7.2,7.4,7.6,7.46
70,3.3,3.5,3.4,3.4,3.3,3.38,20,6.8,6.6,6.6,6.9,6.8,6.74
70,3.3,3.5,3.4,3.4,3.3,3.38,21,7.7,7.4,7.8,7.4,7.7,7.6
70,3.3,3.3,3.5,3.3,3.3,3.34,22,8.1,8.1,8.0,8.3,8.0,8.1
70,3.7,3.9,4.0,4.2,4.2,4.0,23,8.4,8.5,8.2,8.1,8.4,8.32
70,3.3,3.3,3.5,3.3,3.3,3.34,24,8.5,8.4,8.3,8.2,8.1,8.3
70,3.3,3.3,3.5,3.3,3.3,3.34,25,8.8,8.7,8.8,8.9,8.9,8.82
70,3.3,3.3,3.5,3.3,3.3,3.34,26,8.8,9.1,9.0,9.1,8.9,8.98
70,3.7,3.9,4.0,4.2,4.2,4.0,27,8.5,8.5,8.4,8.4,8.3,8.42
70,3.7,3.9,4.0,4.2,4.2,4.0,28,8.9,9.1,8.7,8.6,8.6,8.78
70,3.7,3.9,4.0,4.2,4.2,4.0,29,9.3,9.8,9.3,9.7,9.5,9.52
70,3.7,3.9,4.0,4.2,4.2,4.0,30,10.2,10.3,10.3,10.0,9.8,10.12
70,3.7,3.9,3.8,4.0,3.8,3.84,31,9.3,9.4,9.2,9.4,9.3,9.32
70,3.7,3.9,3.8,4.0,3.8,3.84,32,8.9,9.0,9.3,8.9,9.0,9.02
70,3.7,3.9,3.8,4.0,3.8,3.84,33,9.9,9.7,9.6,9.9,9.5,9.72
70,3.7,3.9,3.8,4.0,3.8,3.84,34,10.4,10.5,10.0,10.0,10.4,10.26
70,3.7,3.9,3.8,4.0,3.8,3.84,35,10.7,10.9,10.6,10.7,10.8,10.74
