water tempreture,initial moisture 1,initial moisture 2,initial moisture 3,initial moisture 4,initial moisture 5,average initial moisture,soaking time,moisture 1,moisture 2,moisture 3,moisture 4,moisture 5,average moisture
180,3.6,3.5,3.7,3.7,3.6,3.62,5,3.8,3.5,3.3,3.5,3.6,3.54
180,3.6,3.5,3.7,3.7,3.6,3.62,10,3.7,3.4,3.6,3.7,3.6,3.6
180,3.6,3.5,3.7,3.7,3.6,3.62,15,4.0,3.8,4.0,3.9,3.8,3.9
180,3.6,3.5,3.7,3.7,3.6,3.62,20,4.0,3.9,4.0,3.9,3.8,3.92
185,3.7,3.7,3.6,3.6,3.6,3.64,5,3.8,3.7,3.7,3.6,3.5,3.66
185,3.7,3.7,3.6,3.6,3.6,3.64,10,4.1,4.0,4.0,3.9,3.8,3.96
185,3.7,3.7,3.6,3.6,3.6,3.64,15,4.1,4.0,4.1,4.0,4.0,4.04
185,3.7,3.7,3.6,3.6,3.6,3.64,20,4.4,4.0,3.9,4.1,4.2,4.12
190,3.8,3.8,3.9,3.9,4.1,3.9,5,4.1,3.9,3.9,3.9,3.8,3.92
190,3.8,3.8,3.9,3.9,4.1,3.9,10,4.4,4.1,4.3,4.3,4.1,4.24
190,3.8,3.8,3.9,3.9,4.1,3.9,15,4.7,4.5,4.6,4.6,4.4,4.56
190,3.8,3.8,3.9,3.9,4.1,3.9,20,4.8,4.8,4.6,4.5,4.6,4.66
195,3.4,3.6,3.9,3.8,3.7,3.68,5,3.7,3.8,3.7,3.7,3.8,3.74
195,3.4,3.6,3.9,3.8,3.7,3.68,10,4.1,4.2,4.3,4.3,4.2,4.22
195,3.4,3.6,3.9,3.8,3.7,3.68,15,4.2,4.3,4.2,4.4,4.5,4.32
195,3.4,3.6,3.9,3.8,3.7,3.68,20,5.3,5.2,4.9,4.8,4.7,4.98
200,3.8,4.0,4.2,3.9,4.1,4.0,5,4.4,4.3,4.1,4.2,4.2,4.24
200,3.8,4.0,4.2,3.9,4.1,4.0,10,4.7,4.8,4.7,4.8,4.6,4.72
200,3.8,4.0,4.2,3.9,4.1,4.0,15,5.3,4.9,5.0,4.9,5.0,5.02
200,3.8,4.0,4.2,3.9,4.1,4.0,20,5.4,5.3,4.9,4.9,5.0,5.1
180,3.8,3.9,3.9,4.0,3.8,3.88,5,3.9,3.9,3.9,3.8,4.0,3.9
180,3.8,3.9,3.9,4.0,3.8,3.88,10,4.3,4.3,4.2,4.3,4.1,4.24
