water tempreture,soaking time,moisture 1,moisture 2,moisture 3,moisture 4,moisture 5,average moisture
0,0,3.3,3.3,3.4,3.6,3.5,3.42
180,5,4.0,3.6,3.5,4.2,4.0,3.86
180,10,4.4,4.4,4.2,3.9,4.3,4.24
180,15,4.5,4.4,4.2,4.4,4.3,4.36
180,20,4.5,5.1,4.9,5.0,4.9,4.88
185,5,4.2,4.5,4.4,4.1,4.2,4.28
185,10,4.4,4.4,4.4,4.2,4.1,4.3
185,15,4.4,4.2,4.3,4.5,4.2,4.32
185,20,3.9,4.5,4.2,4.3,4.5,4.28
190,5,4.8,4.6,4.7,4.7,4.7,4.7
190,10,4.4,4.6,4.4,4.3,4.5,4.44
190,15,4.6,5.0,4.4,5.0,4.9,4.78
190,20,5.1,4.3,4.4,4.7,4.9,4.68
195,5,4.2,4.1,3.6,4.0,3.8,3.94
195,10,4.4,4.3,4.2,4.2,4.4,4.3
195,15,4.7,4.1,3.9,4.3,4.0,4.2
195,20,5.0,4.5,4.3,4.8,4.8,4.68
200,5,4.2,4.2,4.2,4.1,4.2,4.18
200,10,4.6,4.4,4.6,4.4,4.6,4.52
200,15,5.1,4.9,4.6,4.9,5.0,4.9
200,20,5.1,4.9,4.8,4.7,4.8,4.86
180,5,3.5,3.4,3.6,3.7,3.6,3.56
180,10,4.0,3.9,3.9,3.9,4.0,3.94
180,15,3.5,3.9,3.9,4.1,4.1,3.9
180,20,4.1,4.0,3.9,3.9,4.4,4.06
185,5,3.5,3.6,3.6,3.5,3.6,3.56
185,10,3.9,4.0,3.9,3.9,3.9,3.92
185,15,4.0,3.7,3.8,3.8,3.7,3.8
185,20,4.1,3.9,4.1,4.2,3.9,4.04
190,5,3.6,4.2,3.8,4.1,4.1,3.96
190,10,4.2,3.7,3.9,3.8,3.6,3.84
190,15,3.9,4.0,4.0,4.0,4.2,4.02
190,20,4.3,4.4,4.1,4.2,4.2,4.24
195,5,3.7,3.7,3.7,4.3,4.2,3.92
195,10,4.6,4.6,4.4,5.2,4.9,4.74
195,15,4.4,4.9,4.7,4.8,4.9,4.74
195,20,5.1,4.9,4.9,5.0,4.7,4.92
200,5,4.3,4.1,4.2,4.5,4.7,4.36
200,10,4.3,4.1,4.2,4.0,4.2,4.16
200,15,4.5,4.3,4.4,4.6,4.5,4.46
200,20,4.9,5.0,5.3,4.6,5.3,5.02
180,5,4.4,4.4,4.4,4.4,4.3,4.38
180,10,4.5,4.5,4.6,4.3,4.7,4.52
180,15,4.8,4.8,4.7,4.5,4.5,4.66
180,20,4.9,4.7,4.8,4.7,4.5,4.72
185,5,4.3,4.4,4.3,4.4,4.3,4.34
185,10,4.2,4.1,4.1,4.4,4.3,4.22
185,15,4.4,4.5,4.4,4.2,4.6,4.42
185,20,5.2,5.1,5.1,5.0,4.8,5.04
190,5,3.6,3.5,3.5,3.4,3.5,3.5
190,10,3.6,3.5,3.6,3.4,3.4,3.5
190,15,3.7,3.8,3.9,3.8,3.7,3.78
190,20,4.2,4.8,4.2,4.6,4.6,4.48
195,5,3.3,3.6,3.6,3.5,3.4,3.48
195,10,3.7,3.7,3.7,3.6,3.7,3.68
195,15,4.1,4.2,4.1,4.0,4.0,4.08
195,20,3.9,3.9,4.0,4.1,3.9,3.96
200,5,3.7,3.7,3.8,3.8,3.6,3.72
200,10,4.1,4.0,4.0,4.2,4.2,4.1
200,15,4.0,4.0,4.2,4.1,4.1,4.08
200,20,4.2,4.1,4.1,4.1,4.2,4.14
